,name,iata,icao
164,Saab SF340A/B,SF3,SF34
165,Shorts SD.360,SH6,SH36
166,Sikorsky S-61,S61,S61
167,Sikorsky S-76,S76,S76
168,Sukhoi Superjet 100-95,SU9,SU95
169,Tupolev Tu-134,TU3,T134
170,Tupolev Tu-144,\N,T144
171,Tupolev Tu-154,TU5,T154
172,Tupolev Tu-204,T20,T204
173,Yakovlev Yak-40,YK4,YK40
